"ID" "replicate" "c_intra" "f" "eo" "B" "del" "a" "c_glob" "ci" "emax" "e_type" "eo_2" "a_s" "g_s" "ho_type" "ho" "ho_step" "hmin" "Mutation" "mu" "mu_step" "mo" "a_m" "g_m"
75 5 0.35 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
76 6 0.35 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
77 7 0.35 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
78 8 0.35 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
79 9 0.35 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
80 10 0.35 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
81 1 0.4 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
82 2 0.4 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
83 3 0.4 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
84 4 0.4 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
85 5 0.4 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
86 6 0.4 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
87 7 0.4 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
88 8 0.4 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
89 9 0.4 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
90 10 0.4 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
